iter	Passed	Remaining
261	346	974
262	347	973
263	348	972
264	350	971
265	351	970
266	352	969
267	354	967
268	356	968
269	357	967
270	359	966
271	360	964
272	361	963
273	363	962
274	364	960
275	366	960
276	368	960
277	369	958
278	370	956
279	371	954
280	372	953
281	373	951
282	375	952
283	376	950
284	379	950
285	380	949
286	381	948
287	382	946
288	383	944
289	385	943
290	386	941
291	387	940
292	389	938
293	390	938
294	392	937
295	393	935
296	395	935
297	396	933
298	397	932
299	398	930
300	400	929
301	401	927
302	402	926
303	403	924
304	405	923
305	406	922
306	407	920
307	409	919
308	410	918
309	412	917
310	413	916
311	414	914
312	415	913
313	417	911
314	418	909
315	419	908
316	420	906
317	422	906
318	423	904
319	425	903
320	426	902
321	427	900
322	429	899
323	430	898
324	431	896
325	433	895
326	434	894
327	436	894
328	437	892
329	439	892
330	440	891
331	442	889
332	443	887
333	444	885
334	445	884
335	446	882
336	448	881
337	449	880
338	451	880
339	453	879
340	455	879
341	456	877
342	456	875
343	458	873
344	459	872
345	460	870
346	461	869
347	463	867
348	464	867
349	466	865
350	467	864
351	468	863
352	470	861
353	471	860
354	472	858
355	473	857
356	474	855
357	476	853
358	477	852
359	478	850
360	479	849
361	481	848
362	482	847
363	484	846
364	485	844
365	486	843
366	487	841
367	489	840
368	490	839
369	492	838
370	494	838
371	495	836
372	497	835
373	498	834
374	500	833
375	501	832
376	502	830
377	503	829
378	505	828
379	507	827
380	508	825
381	509	824
382	510	822
383	512	821
384	513	820
385	515	819
386	516	818
387	517	816
388	519	815
389	520	814
390	521	812
391	523	811
392	524	810
393	526	809
394	527	807
395	529	806
396	530	805
397	531	804
398	533	803
399	534	802
400	536	801
401	537	800
402	539	798
403	540	796
404	541	795
405	543	794
406	544	793
407	545	792
408	547	790
409	548	789
410	550	788
411	551	787
412	552	785
413	554	784
414	555	783
415	557	782
416	558	781
417	560	780
418	561	778
419	563	777
420	564	776
421	565	774
422	566	773
423	568	772
424	569	770
425	571	769
426	572	768
427	574	767
428	575	765
429	576	764
430	578	763
431	579	761
432	580	760
433	582	759
434	583	758
435	585	757
436	587	756
437	588	755
438	590	753
439	591	752
440	593	751
441	594	750
442	595	749
443	597	747
444	598	746
445	600	745
446	601	744
447	603	743
448	604	742
449	606	741
450	607	740
451	609	738
452	610	737
453	612	736
454	613	735
455	615	733
456	616	732
457	617	730
458	618	729
459	620	728
460	621	726
461	623	725
462	624	724
463	625	722
464	627	721
465	628	720
466	630	719
467	631	718
468	632	716
469	634	715
470	635	714
471	637	712
472	638	711
473	640	710
474	641	709
475	643	707
476	644	706
477	645	705
478	647	704
479	648	702
480	650	701
481	651	700
482	653	699
483	654	697
484	656	696
485	657	695
486	659	694
487	660	693
488	662	691
489	663	690
490	664	689
491	666	687
492	667	686
493	669	685
494	670	684
495	672	682
496	673	681
497	675	680
498	676	679
499	678	678
500	679	677
501	681	676
502	683	675
503	684	673
504	686	673
505	688	672
506	690	670
507	691	669
508	692	668
509	694	666
510	695	665
511	696	663
512	698	662
513	699	661
514	700	659
515	701	658
516	703	656
517	704	655
518	705	653
519	706	652
520	707	650
521	708	649
522	710	647
523	711	646
524	713	645
525	714	644
526	715	642
527	717	641
528	718	639
529	719	638
530	721	636
531	722	635
532	723	633
533	724	632
534	725	630
535	726	629
536	727	627
537	729	626
538	730	624
539	731	623
540	732	621
541	734	620
542	735	618
543	736	617
544	737	615
545	738	614
546	740	612
547	741	611
548	742	610
549	744	608
550	745	607
551	747	606
552	748	605
553	749	603
554	751	602
555	752	601
556	754	599
557	755	598
558	756	597
559	758	595
560	759	594
561	761	593
562	762	591
563	764	590
564	765	589
565	766	587
566	767	586
567	769	585
568	770	583
569	772	582
570	773	581
571	774	579
572	776	578
573	778	577
574	779	576
575	781	574
576	782	573
577	783	572
578	785	571
579	786	569
580	788	568
581	790	567
582	791	566
583	793	565
584	794	563
585	796	562
586	797	561
587	798	559
588	800	558
589	801	557
590	803	555
591	804	554
592	805	552
593	806	551
594	807	549
595	808	548
596	809	546
597	811	545
598	812	543
599	813	542
600	815	541
601	816	539
602	817	538
603	819	537
604	820	535
605	821	534
606	823	533
607	824	531
608	826	530
609	827	529
610	829	527
611	830	526
612	832	525
613	833	524
614	834	522
615	836	521
616	837	519
617	839	518
618	840	517
619	842	516
620	843	514
621	845	513
622	847	512
623	848	511
624	849	509
625	851	508
626	852	507
627	854	505
628	855	504
629	856	503
630	858	501
631	859	500
632	861	499
633	862	498
634	864	496
635	865	495
636	866	493
637	868	492
638	869	491
639	870	489
640	871	488
641	873	486
642	874	485
643	875	484
644	877	482
645	878	481
646	879	479
647	880	478
648	882	477
649	883	475
650	884	474
651	885	472
652	886	471
653	887	469
654	889	468
655	891	467
656	892	465
657	893	464
658	894	462
659	895	461
660	896	459
661	898	458
662	899	457
663	900	455
664	901	454
665	902	452
666	903	451
667	905	449
668	906	448
669	907	446
670	908	445
671	909	443
672	910	442
673	911	441
674	913	439
675	914	438
676	915	436
677	917	435
678	918	434
679	920	432
680	921	431
681	922	430
682	924	429
683	925	427
684	927	426
685	928	425
686	930	423
687	931	422
688	933	421
689	934	420
690	936	418
691	937	417
692	939	416
693	941	415
694	943	413
695	944	412
696	947	411
697	948	410
698	950	409
699	951	407
700	953	406
701	954	405
702	956	404
703	958	402
704	960	401
705	962	400
706	963	399
707	965	398
708	966	396
709	968	395
710	969	394
711	970	392
712	972	391
713	974	390
714	976	389
715	978	388
716	979	386
717	981	385
718	982	384
719	984	382
720	985	381
721	987	380
722	988	378
723	989	377
724	991	375
725	992	374
726	994	373
727	995	371
728	996	370
729	997	369
730	999	367
731	1000	366
732	1001	364
733	1002	363
734	1003	361
735	1005	360
736	1006	359
737	1007	357
738	1008	356
739	1010	354
740	1011	353
741	1012	352
742	1014	350
743	1015	349
744	1016	347
745	1017	346
746	1018	345
747	1020	343
748	1021	342
749	1022	340
750	1024	339
751	1025	338
752	1026	336
753	1027	335
754	1028	333
755	1030	332
756	1031	331
757	1032	329
758	1034	328
759	1036	327
760	1037	325
761	1038	324
762	1039	322
763	1040	321
764	1042	320
765	1043	318
766	1044	317
767	1045	315
768	1046	314
769	1048	313
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1055	303
777	1056	301
778	1057	300
779	1058	298
780	1059	297
781	1060	295
782	1061	294
783	1062	292
784	1063	291
785	1064	289
786	1065	288
787	1067	287
788	1068	285
789	1070	284
790	1071	283
791	1072	281
792	1073	280
793	1074	278
794	1075	277
795	1076	275
796	1077	274
797	1079	273
798	1080	271
799	1081	270
800	1082	268
801	1083	267
802	1084	265
803	1085	264
804	1086	263
805	1087	261
806	1088	260
807	1089	258
808	1090	257
809	1091	255
810	1092	254
811	1093	253
812	1094	251
813	1095	250
814	1096	248
815	1097	247
816	1099	246
817	1100	244
818	1101	243
819	1102	241
820	1103	240
821	1104	239
822	1105	237
823	1106	236
824	1107	234
825	1108	233
826	1109	232
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1114	225
832	1115	223
833	1116	222
834	1117	220
835	1118	219
836	1119	218
837	1120	216
838	1121	215
839	1122	213
840	1123	212
841	1124	211
842	1125	209
843	1126	208
844	1127	206
845	1128	205
846	1129	204
847	1130	202
848	1131	201
849	1132	199
850	1133	198
851	1134	197
852	1135	195
853	1136	194
854	1137	192
855	1138	191
856	1139	190
857	1140	188
858	1141	187
859	1142	186
860	1143	184
861	1144	183
862	1145	181
863	1146	180
864	1147	179
865	1148	177
866	1149	176
867	1150	175
868	1151	173
869	1152	172
870	1153	170
871	1154	169
872	1155	168
873	1156	166
874	1157	165
875	1158	164
876	1159	162
877	1160	161
878	1161	159
879	1162	158
880	1163	157
881	1164	155
882	1165	154
883	1166	153
884	1167	151
885	1169	150
886	1169	149
887	1171	147
888	1172	146
889	1173	144
890	1174	143
891	1175	142
892	1176	140
893	1177	139
894	1178	138
895	1179	136
896	1180	135
897	1181	134
898	1182	132
899	1183	131
900	1184	130
901	1185	128
902	1186	127
903	1187	126
904	1188	124
905	1189	123
906	1190	122
907	1191	120
908	1192	119
909	1193	118
910	1194	116
911	1195	115
912	1196	114
913	1197	112
914	1198	111
915	1199	110
916	1200	108
917	1201	107
918	1202	106
919	1204	104
920	1205	103
921	1206	102
922	1207	100
923	1208	99
924	1209	98
925	1210	96
926	1211	95
927	1212	94
928	1214	92
929	1215	91
930	1216	90
931	1217	88
932	1219	87
933	1220	86
934	1221	84
935	1222	83
936	1223	82
937	1224	80
938	1226	79
939	1227	78
940	1228	77
941	1229	75
942	1230	74
943	1232	73
944	1233	71
945	1234	70
946	1236	69
947	1237	67
948	1239	66
949	1241	65
950	1242	64
951	1243	62
952	1244	61
953	1246	60
954	1247	58
955	1249	57
956	1251	56
957	1252	54
958	1254	53
959	1256	52
960	1257	51
961	1258	49
962	1260	48
963	1261	47
964	1263	45
965	1264	44
966	1266	43
967	1267	41
968	1269	40
969	1271	39
970	1272	38
971	1273	36
972	1275	35
973	1276	34
974	1278	32
975	1279	31
976	1281	30
977	1282	28
978	1284	27
979	1285	26
980	1287	24
981	1288	23
982	1289	22
983	1291	20
984	1292	19
985	1294	18
986	1295	17
987	1297	15
988	1298	14
989	1299	13
990	1301	11
991	1302	10
992	1303	9
993	1304	7
994	1306	6
995	1307	5
996	1309	3
997	1311	2
998	1312	1
999	1313	0
